σταυρωσιμος	565
στενολεσχης	566
στεφανωμα	567
στιχαοιδις	568
στοχασμος	569
στρεφεδινεω	570
στυπινος	571
συγκαλυψειεν	572
συγκοιτος	573
συθεις	574
συμβαμεν	575
συμμιξαι	576
συμπληρωσις	577
συμφυτευω	578
συναλισκω	579
συναρπαγη	580
συνεδρια	581
συνελευσις	582
συνερεω	583
συνεχεως	584
συνθηκαι	585
συννους	586
συντελης	587
συνωχαδον	588
συστασιωτης	589
σφακτηρια	590
σφωιτερος	591
σχου	592
ταβιθα	593
ταμεσθαι	594
ταρασσω	595
ταφε	596
τεθναιην	597
τεκνιον	598
τελεστηρια	599
τεο	600
τετανται	601
τετρακναμος	602
τετυκται	603
τηκεται	604
τητη	605
τιμαγορας	606
τισαι	607
τμωλος	608
τοκος επι ημιοβολιω	609
τοσσακι	610
τραυμα	611
τριαχθηναι	612
τρισκελης	613
τροφιες	614
τρωικος	615
τυραννευω	616
τωγ	617
υδατις	618
υμεας	619
υπανταω	620
υπεκπρορεω	621
υπεραινετος	622
υπερεκτισις	623
υπερμακης	624
υπερφρονεω	625
υπιλλω	626
υποδημα	627
υποκοριζομαι	628
υπομνημα	629
υποστεναχιζω	630
υποφαινεσθαι	631
υστερημα	632
υψηγορια	633
φαγωντι	634
φαλος	635
φαρσοφορος	636
φερβεμεν	637
φηλητησι	638
φθησε	639
φιλασαι	640
φιλοδουπος	641
φιλοσοφια	642
φλεγμαινω	643
φοιβος	644
φορευς	645
φρατορες	646
φρυαγμα	647
φυλαττομενος	648
φυτον	649
χαιρεσκον	650
χαλκευτικος	651
χαμευνις	652
χαριτοω	653
χειροβαλιστρα	654
χερμας	655
χιλοω	656
χολωθεις	657
χρεμπτομαι	658
χρησμολογεω	659
χρυσαμπυκας	660
χρωζω	661
χωρικος	662
ψαφαρος	663
ψηφαρος	664
ψυχθεις	665
ωε	666
ωκυτοκον	667
ωνησις	668
ωριστος	669
ωστιζω	670
ωωδης	670
